==308065== NVPROF is profiling process 308065, command: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling application: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
s,ms,,,,,,,,B,B,MB,GB/s,,,,,,B,,,
1.803101,0.002624,,,,,,,,,,,,,,"TITAN Xp (0)",,,16384.000000,"0x7f54d83f0000","[Unified Memory Memcpy HtoD]",
1.803103,0.001504,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d83f4000","[Unified Memory Memcpy HtoD]",
1.803105,0.004672,,,,,,,,,,,,,,"TITAN Xp (0)",,,40960.000000,"0x7f54d83f6000","[Unified Memory Memcpy HtoD]",
1.803113,0.006976,,,,,,,,,,,,,,"TITAN Xp (0)",,,61440.000000,"0x7f54d8560000","[Unified Memory Memcpy HtoD]",
1.803120,0.001024,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d856f000","[Unified Memory Memcpy HtoD]",
1.803126,0.201920,,,,,,,,,,,,,,"TITAN Xp (0)",,,"6","0x7f54d80be000","[Unified Memory GPU page faults]",
1.803209,0.017408,,,,,,,,,,,,,,"TITAN Xp (0)",,,188416.000000,"0x7f54d8090000","[Unified Memory Memcpy HtoD]",
1.803227,0.003840,,,,,,,,,,,,,,"TITAN Xp (0)",,,32768.000000,"0x7f54d80be000","[Unified Memory Memcpy HtoD]",
1.803231,0.001600,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d80c6000","[Unified Memory Memcpy HtoD]",
1.803232,0.001792,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d80c8000","[Unified Memory Memcpy HtoD]",
1.803234,0.002112,,,,,,,,,,,,,,"TITAN Xp (0)",,,12288.000000,"0x7f54d80ca000","[Unified Memory Memcpy HtoD]",
1.803236,0.001504,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d80cd000","[Unified Memory Memcpy HtoD]",
1.803238,0.001088,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d80cf000","[Unified Memory Memcpy HtoD]",
1.803267,0.002144,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d8260000","[Unified Memory Memcpy HtoD]",
1.803269,0.001856,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d8262000","[Unified Memory Memcpy HtoD]",
1.803271,0.005376,,,,,,,,,,,,,,"TITAN Xp (0)",,,49152.000000,"0x7f54d8264000","[Unified Memory Memcpy HtoD]",
1.803276,0.020640,,,,,,,,,,,,,,"TITAN Xp (0)",,,237568.000000,"0x7f54d83a0000","[Unified Memory Memcpy HtoD]",
1.803297,0.003968,,,,,,,,,,,,,,"TITAN Xp (0)",,,36864.000000,"0x7f54d83da000","[Unified Memory Memcpy HtoD]",
1.803301,0.001248,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d83e3000","[Unified Memory Memcpy HtoD]",
1.803302,0.001504,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d83e4000","[Unified Memory Memcpy HtoD]",
1.803304,0.000992,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d83e6000","[Unified Memory Memcpy HtoD]",
